Date,Open,High,Low,Close,Adj Close,Volume
1988-09-01,5.115878,5.372699,5.043968,5.331607,2.881631,89056700
1988-10-01,5.331607,5.619247,5.208333,5.444609,2.942706,73305000
1988-11-01,5.434336,5.434336,4.972058,5.208333,2.869124,74638700
1988-12-01,5.208333,5.506246,5.095332,5.403517,2.976646,65787800
1989-01-01,5.403517,6.173981,5.331607,6.163708,3.395411,146934900
1989-02-01,6.163708,6.235618,5.937706,6.081525,3.411161,74657900
1989-03-01,6.091798,6.471893,6.091798,6.451348,3.618595,96644500
1989-04-01,6.471893,7.067719,6.399983,6.995809,3.923985,80181300
1989-05-01,6.995809,7.879273,6.903353,7.642998,4.367211,108499800
1989-06-01,7.642998,8.115549,7.293721,7.776545,4.443520,109658200
1989-07-01,7.776545,9.153107,7.653271,8.834648,5.048120,113931800
1989-08-01,8.834648,10.231755,8.814102,9.656476,5.601602,177261200
1989-09-01,9.656476,10.139299,9.163380,9.933843,5.762501,97493700
1989-10-01,9.933843,11.197403,9.389382,10.180391,5.905520,188451000
1989-11-01,10.180391,10.755671,9.800296,10.601578,6.222091,94318300
1989-12-01,10.601578,10.909763,8.690828,9.204471,5.402126,170622400
1990-01-01,9.204471,9.677022,8.341552,8.557281,5.022291,166166200
1990-02-01,8.557281,9.101743,8.341552,8.999014,5.348874,99364200
1990-03-01,8.999014,9.615385,8.875740,9.132561,5.428253,107705100
1990-04-01,9.132561,9.522929,8.978468,9.081197,5.397723,108353900
1990-05-01,9.081197,10.673488,8.988741,10.601578,6.400389,131519100
1990-06-01,10.601578,10.909763,10.036572,10.539941,6.363180,146622200
1990-07-01,10.539941,11.217949,9.492110,9.666749,5.836013,161926900
1990-08-01,9.666749,9.697567,7.684089,8.413462,5.148821,240326600
1990-09-01,8.372370,8.505918,7.139628,7.447814,4.557869,128453000
1990-10-01,7.509451,8.074457,7.067719,7.478632,4.576730,183533700
1990-11-01,7.478632,8.300460,7.293721,8.187459,5.106753,125426600
1990-12-01,8.218277,8.937377,8.177186,8.341552,5.202866,106229300
1991-01-01,8.341552,8.937377,7.694362,8.896285,5.548870,162519800
1991-02-01,8.896285,10.355030,8.834648,10.139299,6.443378,170269600
1991-03-01,10.139299,10.663215,9.379109,9.779750,6.214890,102908600
1991-04-01,9.769477,10.098208,9.204471,9.461292,6.012515,107503300
1991-05-01,9.471564,10.170118,9.338017,9.533202,6.168135,137813700
1991-06-01,9.533202,9.759205,9.050378,9.163380,5.928854,97720200
1991-07-01,9.225017,10.087935,9.225017,9.923570,6.420709,103704200
1991-08-01,9.923570,10.098208,9.183925,9.759205,6.430038,97977000
1991-09-01,9.759205,9.790023,9.060651,9.368836,6.172837,79587200
1991-10-01,9.368836,9.974935,9.132561,9.759205,6.430038,98031500
1991-11-01,9.759205,9.892752,8.526463,8.608645,5.780913,134299600
1991-12-01,8.608645,9.481837,8.505918,9.409927,6.318994,106331400
1992-01-01,9.409927,11.762409,9.358563,11.217949,7.533121,205936100
1992-02-01,11.217949,12.923242,11.176857,12.635602,8.639888,149912500
1992-03-01,12.635602,12.902696,11.885684,12.460963,8.520478,122781400
1992-04-01,12.460963,13.108152,11.967867,11.978139,8.190336,174168000
1992-05-01,11.978139,13.519067,11.937048,12.491782,8.681626,151038200
1992-06-01,12.491782,13.149244,11.382315,11.875411,8.253253,99555600
1992-07-01,11.875411,12.121960,11.176857,11.834319,8.224694,69319800
1992-08-01,11.834319,12.080868,10.765944,11.341223,7.916999,68996800
1992-09-01,11.341223,12.327416,11.259040,11.916502,8.318586,61759100
1992-10-01,11.916502,13.231426,10.930309,12.943787,9.035707,78712800
1992-11-01,12.943787,13.888889,12.697239,13.868343,9.725649,74771100
1992-12-01,13.765615,14.875082,13.025970,14.135437,9.912956,108105900
1993-01-01,14.094346,15.327087,13.724524,14.998357,10.518110,79855100
1993-02-01,14.998357,15.738001,13.971071,14.587442,10.268306,74711500
1993-03-01,14.587442,15.121631,14.094346,14.628534,10.297231,81750500
1993-04-01,14.628534,14.833991,12.861604,13.395792,9.429484,73438600
1993-05-01,13.395792,14.710716,12.573964,14.464169,10.225770,90183700
1993-06-01,14.464169,14.628534,13.272518,13.395792,9.470458,64256100
1993-07-01,13.395792,13.477975,11.834319,12.327416,8.715144,123997100
1993-08-01,12.327416,13.395792,11.916502,12.902696,9.164538,82982200
1993-09-01,12.902696,13.601249,12.327416,12.409599,8.814306,102877200
1993-10-01,12.409599,14.710716,12.204142,14.135437,10.040136,126554600
1993-11-01,14.135437,14.423077,12.450690,13.108152,9.357530,105892600
1993-12-01,13.354701,14.916174,13.354701,14.012163,10.002874,83823100
1994-01-01,14.012163,15.902367,13.724524,15.532544,11.088229,104199600
1994-02-01,15.532544,15.984550,14.710716,15.779093,11.314034,72354600
1994-03-01,15.779093,15.861276,13.436884,13.806706,9.899779,82886000
1994-04-01,13.806706,14.381986,13.025970,13.971071,10.017632,61892400
1994-05-01,13.971071,14.587442,13.395792,14.258712,10.280058,56479000
1994-06-01,14.258712,14.875082,13.642341,13.683432,9.865297,69519700
1994-07-01,13.765615,14.505260,13.354701,13.929980,10.043051,57260900
1994-08-01,13.929980,14.710716,13.477975,13.560158,9.829189,75311000
1994-09-01,13.560158,14.094346,12.738330,12.738330,9.233478,91173400
1994-10-01,12.738330,13.190335,12.409599,12.984879,9.412192,84514600
1994-11-01,12.984879,14.628534,12.738330,14.299803,10.427116,93609200
1994-12-01,14.299803,15.409270,13.806706,15.121631,11.026375,70731700
1995-01-01,15.121631,16.888559,14.792899,16.724195,12.194933,105160100
1995-02-01,16.724195,17.833662,16.642012,17.546022,12.857966,76423900
1995-03-01,17.546022,18.491125,17.463840,17.587114,12.888074,103440100
1995-04-01,17.669296,18.614399,17.669296,18.203485,13.339764,58509800
1995-05-01,18.203485,18.367849,17.340565,18.244576,13.437530,70207300
1995-06-01,18.244576,19.723866,18.080210,18.244576,13.437530,83134800
1995-07-01,18.244576,20.175871,16.600920,19.271860,14.194144,97982100
1995-08-01,19.559500,20.668968,18.367849,18.491125,13.687250,136280700
1995-09-01,18.491125,19.436226,17.915844,18.860947,13.960996,71581100
1995-10-01,18.860947,19.148586,18.121302,18.943129,14.021825,59419500
1995-11-01,18.943129,21.120974,18.655489,19.764957,14.702191,93240000
1995-12-01,19.806049,20.710060,19.271860,19.354044,14.396528,74656100
1996-01-01,19.436226,21.162064,19.436226,21.120974,15.783645,101699300
1996-02-01,21.038790,21.737345,19.929323,21.531887,16.090717,108151300
1996-03-01,21.531887,22.970085,20.874424,20.997700,15.691521,151753500
1996-04-01,21.120974,21.572979,19.641684,20.381329,15.230908,118347000
